JORDAN 1 BLACK TOE REIMAGINED,90,,,,
13,,,,,
,,,,,
JORDAN 1 85 BLACK/WHITE,170,,,,
10.5,,,,,
,,,,,
JORDAN 1 SPIDERVERSE,50,,,,
6,,,,,
,,,,,
JORDAN 4 MILITARY BLACK,560,,,,
5.5 - 2,,,,,
6,255,,,,
,,,,,
JORDAN 4 RED CEMENT,190,,,,
9,,,,,
,,,,,
JORDAN 4 THUNDER,,,,,
9,260,,,,
12,240,,,,
,,,,,
JORDAN 4 WHITE THUNDER,,,,,
5 - 3,570,,,,
6 - 2,380,,,,
,,,,,
JORDAN 4 MILITARY BLUE,,,,,
8,200,,,,
12,170,,,,
5 - 2,,,,,
,,,,,
JORDAN 4 INFRARED,,,,,
11,190,,,,
11.5,190,,,,
,,,,,
JORDAN 5 OFF WHITE SAIL,,,,,
9.5,460,,,,
,,,,,
JORDAN 5 JADE HORIZON,,,,,
12,130,,,,
,,,,,
JORDAN 12 BARON,,,,,
10.5,190,,,,
11.5,200,,,,
,,,,,
NIKE DUNK LOW BLUEBERRY,,,,,
4.5,60,,,,
5,55,,,,
5.5,70,,,,
6,65,,,,
7,60,,,,
,,,,,
NIKE DUNK LOW UNC,,,,,
5.5,50,,,,
6,50,,,,
6.5,45,,,,
,,,,,
NIKE DUNK LOW POLAR,,,,,
9.5,50,,,,
10.5,70,,,,
11,65,,,,
13,40,,,,
,,,,,
SB RIOT,,,,,
5,50,,,,
12,100,,,,
,,,,,
ST JOHN,,,,,
9.5,55,,,,
,,,,,
CHICAGO EMB,,,,,
9,60,,,,
,,,,,
KENTUCKY DUNK LOW,,,,,
9,110,,,,
,,,,,
YEEZY 350 CLAY,,,,,
9.5,175,,,,
,,,,,
YEEZY 350 HYPERSPACE,,,,,
9,170,,,,
TOTAL,,5895,,,
Nike Dunk Panda,5Y,Brand New/No Lid Box,,,
Nike Dunk Reverse Panda,M10,Brand New,,60,
Jordan 1 Mid Shattered Backboard,M11,Used/Rep Box,,,
Jordan 1 Mid Banned,M9.5,Brand New,,70,
Adidas Chinese New Year 93/16,M8.5,Used/Special Box,,,
Adidas Human Race BBC Astro Blue,M9.5,Brand New,,60,
Nike PG3 Mamba Mentality,M9.5,Brand New,,50,
Jordan 1 High Guava Ice,M10,Brand New,,110,
Jordan 1 High UNC Patent,W12,Brand New,,280,
Jordan 1 Mid Tan Gum,M9,Brand New,,70,
FOAMPOSITE MEMPHIS,M10,Brand New,,220,
Nike Dunk High Sail Grey,W9,Brand New,,40,
Nike Dunk GeorgeTown,M9,Brand New,,100,
Jordan 1 Low White Ghost Green,M9.5,Brand New,,90,
Jordan 1 High NYC To Paris,M9.5,Brand New,,120,
Nike Racer Off-White Black,W11,Brand New,,80,
Jordan 1 Low Crimson Tint,M9.5,Brand New,,70,
Jordan 1 High Phantom Gym Red,M10.5,Used/OG All,,,
Jordan 1 Low Black Mettalic Silver,W11,Brand New/Damaged Box,,,
Jordan 1 Mid Hyper Royal,M9.5,Brand New/Damaged Box,,,
Yeezy 350 Mono ice,M9.5,Brand New,,130,
Jordan 1 High First Class Flight,M11,VNDS/OG All,,,
Jordan 1 Mid University Blue,W11,Brand New,,50,
Yeezy 350 Citrin,M9.5,Brand New,,130,
Yeezy 350 Linen,M9.5,Brand New,,150,
Jordan 1 High Phantom Gym Red,M9.5,Brand New,,160,
Yeezy 350 Desert Sage,M9.5,Brand New,,120,
Yeezy 350 Semi Frozen Yellow,M9.5,Brand New,,140,
Jordan 1 High Court Purple,M9.5,Brand New,,110,2.0??? IF SO
Jordan 1 High Shadow 2.0,M10.5,Brand New,,120,
Nike Dunk High Game Royal,M10,Used/OG All,,,
Nike SB Dunk High Turdunken,M9,Brand New,,80,
Jordan 1 High Chicago (2015),M9.5,Used/OG All,,,
Yeezy 700 Tephra,M9.5,Brand New,,160,
Jordan 1 Mid Metallic Gold Black,M11.5,Brand New,,50,
DUNK LOW SB PANDA PIGEON,M11,Brand New,,570,
Jordan 3 Racer Blue,M9.5,Brand New,,200,
Jordan 1 High Zoom Gold Laser,M9.5,Brand New,,50,
JORDAN 1 HOMAGE TO HOME,M11,Brand New,,190,
Adidas Human Race Inspiration White,M9.5,Brand New,,,SKU??
Jordan 1 Mid Tropical Twist,M9.5,Brand New,,50,
Nike Sb Dunk High Invert Celtics,M9,Brand New,,75,
Jordan 12 Chinese New Year (2019),M11,Used/OG All,,,
Nike Dunk Mid SS Strawberry Milk,M10,Brand New,,50,
Yeezy 700 Mauve,M9.5,Brand New,,160,
Yeezy 700 Faded Azure,M9.5,Brand New,,100,
Nike Dunk High Syracuse (2021),W11,Brand New,,35,
Jordan 14 Supreme White,M9.5,Brand New,,190,
Jordan 3 Muslim,M9.5,Brand New,,150,
Nike Dunk Off-White Green Strike,M10.5,Brand New,,340,
Jordan 4 Royalty,M11,Used/OG All,,,
Nike Blazer Off-White Grim Reaper,M9.5,Brand New/Damaged Box,,,
Nike Blazer Stranger Things,M9.5,Brand New,,,SKU???
Nike Zoom Fly Off-White Pink,M10,Brand New,,250,
Jordan 5 Raging Bull,M9.5,Brand New,,200,
Jordan 1 High Dark Marina Blue,M11,Brand New,,60,
Nike Blazer Off-White All Hallows Eve,M9.5,Brand New,,330,
Jordan 1 High OG Black,M10,Brand New/Damaged Box,,,
Jordan 1 High Gatorade Blue Lagoon,M10,Used/OG All,,,
Nike Foamposite Sequoia,M9,Used/OG All,,,
Nike SB High NBA Cavs,M11.5,Brand New,,50,
Jordan 1 Low Reverse Bred,M13,Brand New,,70,
Jordan 1 High Bleached Coral,M10,Brand New,,145,
Yeezy 700 Geode,M6.5,Brand New,,70,MNVN??
Jordan 1 Low Travis Scott Mocha,M10,Brand New,,1650,OG??
Adidas Hu Billionare Boys Club,M9.5,Brand New,,60,GW3955???
Jordan 1 Off-White University Blue,M11.5,Used/OG All,,,
Jordan 1 Off-White Chicago,M9.5,Used/OG All,,,
Jordan 1 Low Chicago Flip,W11,Brand New,,45,
Jordan 1 High Fearless UNC Chicago,M9.5,Brand New,,170,
Nike Waffle Off-White White,W11,Brand New,,70,
Nike Uptempo Bulls Hoops Pack,M11,Used/OG All,,,
Yeezy 750 OG Light Brown,M10,Used/Damaged Box,,,
Jordan 1 High Guava Ice,M10,Brand New,,100,
Jordan 1 Mid Artic Orange,M9.5,Brand New,,40,
Nike Waffle Sacai Maroon Team Royal,M9.5,Brand New/Damaged Box,,,
Jordan 11 Low Legend Blue,M9.5,Brand New,,200,
Nike Adapt Dark Grey,M14,Brand New,,70,ADAPT BB??
Nike Waffle Off-White Vivid Sky,W11,Brand New,,100,
Nike Air Force Travis Scott Sail,M10,Brand New,,580,
Nike SB Dunk Purple Lobster,M10.5,Brand New,,540,
Jordan 1 High Hand Crafted,M9.5,Brand New,,80,
Jordan 1 High Black Crimson Tint,M9.5,Brand New,,70,
Yeezy 700 Geode,M9.5,Brand New,,70,MNVN???
Nike Air Force NYC Porcell Wildcard,M9.5,Brand New,,90,
Jordan 1 High Gore-Tex Light Bone,M9.5,Brand New,,120,
Nike PG2.5 Playstation Wolf Grey,M10,Brand New,,135,
Nike Air Force Travis Scott Sail,M11.5,Brand New,,660,
Jordan 1 High Hand Crafted,M9.5,Brand New,,75,
Jordan 1 Mid Equality (2019),M10.5,Brand New,,120,
Jordan 1 Bordeaux,M9.5,Brand New,,60,
Jordan 1 High Hyper Royal Smoke Grey,M9,Brand New,,170,
Adidas UltraBoost Targaryen Dragons,M9.5,Brand New,,110,
Jordan 1 High University Blue,M9.5,Brand New,,180,
Nike SB Dunk St.Patty's Day,M9.5,Brand New,,130,LOW?
Nike Blazer Off-White Grim Reaper,M11,Brand New,,450,
Yeezy 700 Carbon Blue,M5,Brand New/Damaged Box,,,
Jordan 1 Dave White Wings,M11.5,Used/OG All,,,
Jordan 1 Mid Signal Blue,M11,Brand New,,70,
Jordan 1 High Gatorade Orange Peel,M8.5,Used/Rep Box,,,
Jordan 1 Low Court Purple,M9.5,Brand New,,100,
Jordan 1 High Bloodline,M9.5,Brand New,,125,
Nike Air Max CLOT Kiss of Death,M9.5,Brand New,,30,
Nike Zoom Off-White Terra Kiger 5,W12,Brand New,,,SKU????
Nike Dunk High Sail Crimson Tint,W9,Brand New,,25,
Jordan 3 Pine Green,M10.5,Brand New,,200,
Jordan AJ1 KO Premium Black,M9,Used/OG All,,,
Jordan 1 High Shadow 2.0,M9.5,Brand New,,120,
Jordan 1 Low Bred Toe,M9.5,Brand New,,50,
Nike Dunk High AMBUSH Black White,M10,Brand New,,210,
Yeezy 350 Core Black White,M10.5,Used/OG All,,,
Yeezy 350 Citrin (Non-Reflective),M10.5,Brand New,,110,
Jordan 3 Chlorophyll,M10,Brand New,,160,
Jordan 1 AJKO Chicago,M10.5,Brand New,,90,
Yeezy 700 Analog,M4,Brand New,,80,
Yeezy 350 Israfil,M9.5,Brand New,,150,
Yeezy 350 Lundmark (Reflective),M7,Brand New,,170,
Yeezy 350 Ash Pearl,M9.5,Brand New,,110,
Yeezy 700 Fade Carbon,M9.5,Brand New,,65,
Yeezy 700 Geode,M13,Brand New,,80,MNVN??
Yeezy 350 Cream,M9.5,Brand New,,210,
Yeezy 350 Yeshaya (Non-Reflective),M9.5,Brand New,,110,
Yeezy 350 Sand Taupe,M9.5,Brand New/Damaged Box,,,
Yeezy 500 Blush,M9.5,Brand New,,140,
Yeezy 700 Inertia,M9.5,Brand New,,270,
Jordan MTM Pack 1/29,M8.5,Used/Missing 1 Pair,,,
Jordan 1 High Doernbecher Mr Boober,M11.5,Used/No Box,,,
Nike Dunk NN Elemental Pink,W8,Brand New/No Lid Box,,,
Air Max 270 Travis Scott Cactus Trails,M10.5,Brand New,,220,
Nike Vomero Photon Dust,W10.5,Brand New,,100,SKU???
Jordan 4 Vivid Sulfur,W6.5,Brand New/No Lid Box,,,
Jordan 4 Vivid Sulfur,W6,Brand New/No Lid Box,,,
Yeezy 350 Flax,M8.5,Brand New,,110,