,offers here,quantity,condition,stockx_bid,stockx_ask,lowest_consigned,last_consigned_price,last_consigned_date,lowest_with_you,last_with_you_price,last_with_you_date,consignment_price,ship_to_verify_price,stockx_sku,stockx_url,stockx_size,stockx_shoe_name
ds,,1,,$273,$315,$336.00,$336.00,0,$300.00,$336.00,0,$336.00,$300.00,DN3707-100,https://stockx.com/air-jordan-3-retro-white-cement-reimagined,10.5,Jordan 3 Retro White Cement Reimagined
ds,,1,,$183,$215,$448.00,,,$448.00,$497.00,807,$448.00,$448.00,DN3707-010,https://stockx.com/air-jordan-3-retro-black-cement-2024,10.5,Jordan 3 Retro OG Black Cement (2024)
ds,,1,,$133,$159,$349.00,$329.00,35,$317.00,$301.00,8,$349.00,$317.00,FZ4811-001,https://stockx.com/air-jordan-3-retro-og-sp-a-ma-maniere-black-violet-ore-womens,10.5W,Jordan 3 Retro OG SP A Ma Maniére While You Were Sleeping (Women's)
ds,,1,,$187,$239,$252.00,$275.00,2,$196.00,$252.00,1,$252.00,$196.00,DN3707-160,https://stockx.com/air-jordan-3-retro-fire-red-2022,10.5,Jordan 3 Retro Fire Red (2022)
ds,,1,,$255,$289,,$430.00,534,$309.00,$310.00,89,,$309.00,AV6683-200,https://stockx.com/air-jordan-3-retro-jth-bio-beige,10.5,Jordan 3 Retro JTH Bio Beige
ds,,1,,$198,$235,$313.00,$300.00,73,$262.00,$277.00,0,$313.00,$262.00,CT8532-012,https://stockx.com/air-jordan-3-retro-cool-grey-2021,10.5,Jordan 3 Retro Cool Grey (2021)
ds,,1,,$175,$199,$198.00,$200.00,22,$198.00,$198.00,3,$198.00,$198.00,CK4344-002,https://stockx.com/air-jordan-3-retro-animal-pack,10.5,Jordan 3 Retro SE Animal Instinct
ds,,1,,$2503,,,,,,,,,,,https://stockx.com/air-jordan-4-retro-unc-pe,10.5,Jordan 4 Retro UNC (PE)
ds,,1,,$200,$223,$212.00,$233.00,0,$192.00,$233.00,0,$212.00,$192.00,FV5029-141,https://stockx.com/air-jordan-4-retro-military-blue-2024,10.5,Jordan 4 Retro Military Blue (2024)
ds,,1,,$200,$223,$212.00,$233.00,0,$192.00,$233.00,0,$212.00,$192.00,FV5029-141,https://stockx.com/air-jordan-4-retro-military-blue-2024,10.5,Jordan 4 Retro Military Blue (2024)
ds,,1,,$330,$358,$345.00,$405.00,3,$345.00,$390.00,1,$345.00,$345.00,FQ8138-001,https://stockx.com/air-jordan-4-retro-white-thunder,10.5,Jordan 4 Retro White Thunder
ds,,1,,$210,$235,$244.00,$254.00,0,$180.00,$243.00,0,$244.00,$180.00,HQ7978-101,https://stockx.com/air-jordan-5-retro-fire-red-black-tongue-2025,10.5,Jordan 5 Retro Fire Red Black Tongue (2025)
ds,,1,,$228,$319,$373.00,$331.00,80,$308.00,$260.00,0,$373.00,$308.00,CT4838-004,https://stockx.com/air-jordan-5-retro-racer-blue,10,Jordan 5 Retro Racer Blue
ds,,1,,$423,$1190,$997.00,$1061.00,462,$997.00,$1000.00,287,$997.00,$997.00,CI1899-400,https://stockx.com/air-jordan-5-retro-trophy-room-ice-blue,12,Jordan 5 Retro Trophy Room Ice Blue
ds,,1,,$222,$420,,$389.00,129,,$388.00,20,,,854271-730,https://stockx.com/air-jordan-6-retro-pinnacle-metallic-gold,10.5,Jordan 6 Retro Pinnacle Metallic Gold
ds,,1,,$100,$172,$199.00,$244.00,572,$199.00,$239.00,192,$199.00,$199.00,694091-625,https://stockx.com/jordan-6-retro-history-of-jordan-spiz-ike,10.5,Jordan 6 Retro History of Jordan (Spiz'ike)
ds,,1,,$257,$336,$289.00,$159.00,471,$221.00,$245.00,28,$289.00,$221.00,384664-060,https://stockx.com/air-jordan-6-retro-black-infrared-2019,10.5,Jordan 6 Retro Black Infrared (2019)
ds,,1,,,,,,,,,,,,,,,
ds,,1,,$157,$183,$195.00,$169.00,27,$165.00,$190.00,5,$195.00,$165.00,CT8529-410,https://stockx.com/air-jordan-6-retro-unc-white,10.5,Jordan 6 Retro UNC White
ds,,1,,$157,$183,$195.00,$169.00,27,$165.00,$190.00,5,$195.00,$165.00,CT8529-410,https://stockx.com/air-jordan-6-retro-unc-white,10.5,Jordan 6 Retro UNC White
ds,,1,,$153,$169,$279.00,$256.00,8,$279.00,$389.00,0,$279.00,$279.00,FV5104-006,https://stockx.com/air-jordan-11-retro-low-bred-2025,10.5,Jordan 11 Retro Low Bred (2025)
ds,,1,,$340,$740,,$541.00,265,$434.00,$462.00,192,,$434.00,914433-003,https://stockx.com/air-jordan-11-retro-pinnacle-grey-suede,10.5,Jordan 11 Retro Pinnacle Grey Suede
ds,,1,,$205,$253,$229.00,$267.00,3,$229.00,$245.00,0,$229.00,$229.00,CT8012-116,https://stockx.com/air-jordan-11-retro-cherry-2022,10.5,Jordan 11 Retro Cherry (2022)
ds,,1,,$176,$234,$278.00,$278.00,5,$210.00,$245.00,0,$278.00,$210.00,DH4120-010,https://stockx.com/air-jordan-12-low-golf-playoff,10.5,Jordan 12 Retro Low Golf Playoff
ds,,1,,$176,$234,$278.00,$278.00,5,$210.00,$245.00,0,$278.00,$210.00,DH4120-010,https://stockx.com/air-jordan-12-low-golf-playoff,10.5,Jordan 12 Retro Low Golf Playoff
ds,,1,,$206,$284,$323.00,$324.00,1,$268.00,$324.00,1,$323.00,$268.00,CT8013-140,https://stockx.com/air-jordan-12-retro-blueberry,10.5,Jordan 12 Retro Blueberry
ds,,1,,$202,$250,$262.00,$316.00,2,$247.00,$259.00,2,$262.00,$247.00,CT8013-116,https://stockx.com/air-jordan-12-retro-cherry-2023,10.5,Jordan 12 Retro Cherry (2023)
ds,,1,,$218,$238,$255.00,$258.00,0,$230.00,$258.00,0,$255.00,$230.00,CT8013-002,https://stockx.com/air-jordan-12-retro-flu-game-2025,10,Jordan 12 Retro Flu Game (2025)
ds,,1,,$205,$244,$268.00,$275.00,2,$242.00,$268.00,0,$268.00,$242.00,CT8013-002,https://stockx.com/air-jordan-12-retro-flu-game-2025,10.5,Jordan 12 Retro Flu Game (2025)
ds,,1,,$200,$245,$249.00,$270.00,3,$245.00,$244.00,0,$249.00,$245.00,HM9621-900,https://stockx.com/nike-kobe-8-protro-what-the-2025,10.5,Nike Kobe 8 Protro What The (2025)
ds,,1,,$116,$146,$240.00,$250.00,90,$158.00,$200.00,19,$240.00,$158.00,414571-167,https://stockx.com/air-jordan-13-retro-del-sol,10.5,Jordan 13 Retro Del Sol
ds,,1,,$170,$199,$253.00,$256.00,30,$191.00,$191.00,5,$253.00,$191.00,DJ5982-600,https://stockx.com/air-jordan-13-retro-gym-red-flint-grey,10.5,Jordan 13 Retro Gym Red Flint Grey
ds,,1,,$208,$291,$236.00,$349.00,0,$221.00,$349.00,0,$236.00,$221.00,487471-160,https://stockx.com/air-jordan-14-retro-black-toe-2024,10.5,Jordan 14 Retro Black Toe (2024)
ds,,1,,$56,$111,$135.00,$133.00,31,$105.00,$105.00,3,$135.00,$105.00,DH5360-300,https://stockx.com/nike-dunk-low-olive-brown-orange,10.5,Nike Dunk Low Dusty Olive
ds,,1,,$235,$289,$670.00,$716.00,153,$670.00,$680.00,24,$670.00,$670.00,FN0432-100,https://stockx.com/air-jordan-1-retro-low-og-trophy-room-away,10.5,Jordan 1 Retro Low OG Trophy Room Rookie Card Away
ds,,1,,$378,$440,$698.00,$544.00,18,$475.00,$500.00,13,$698.00,$475.00,555088-602,https://stockx.com/air-jordan-1-retro-high-chicago-crystal,10,Jordan 1 Retro High Spider-Man Origin Story
ds,,1,,$265,$310,$323.00,$415.00,7,$279.00,$212.00,0,$323.00,$279.00,555088-105,https://stockx.com/air-jordan-1-retro-high-dark-mocha,10,Jordan 1 Retro High Dark Mocha
ds,,1,,$160,$200,,,,,,,,,555088-018,https://stockx.com/air-jordan-1-retro-high-neutral-grey-hyper-crimson,10,Jordan 1 Retro High Neutral Grey Hyper Crimson
ds,,1,,$230,$375,,,,,,,,,CD0461-401,https://stockx.com/air-jordan-1-retro-high-unc-patent-w,11.5W,Jordan 1 Retro High UNC Patent (Women's)
ds,,1,,$65,$88,$300.00,$224.00,270,$300.00,$240.00,83,$300.00,$300.00,CZ0790-140,https://stockx.com/air-jordan-1-retro-low-og-game-royal,10,Jordan 1 Retro Low OG Game Royal
ds,,1,,$65,$88,$300.00,$224.00,270,$300.00,$240.00,83,$300.00,$300.00,CZ0790-140,https://stockx.com/air-jordan-1-retro-low-og-game-royal,10,Jordan 1 Retro Low OG Game Royal
ds,,1,,$235,$260,$350.00,$325.00,16,$274.00,$268.00,12,$350.00,$274.00,555088-311,https://stockx.com/air-jordan-1-retro-high-turbo-green,10,Jordan 1 Retro High Turbo Green
ds,,1,,$210,$239,$344.00,$315.00,4,$273.00,$315.00,4,$344.00,$273.00,CD6578-507,https://stockx.com/air-jordan-1-sb-la-to-chicago,10,Jordan 1 Retro High OG Defiant SB LA to Chicago
ds,,1,,$86,$134,$199.00,$149.00,43,$130.00,$131.00,2,$199.00,$130.00,HQ2010-012,https://stockx.com/air-jordan-1-low-light-smoke-grey-off-noir,10,Jordan 1 Low Light Smoke Grey Off Noir
ds,,1,,,,,,,,,,,,,,,
ds,,1,,$210,$243,$247.00,$261.00,6,$216.00,$234.00,0,$247.00,$216.00,555088-036,https://stockx.com/air-jordan-1-retro-high-og-rebellionaire,10,Jordan 1 Retro High OG Rebellionaire
ds,,1,,$126,$148,,,,,,,,,DZ5485-400,https://stockx.com/air-jordan-1-high-og-unc-toe,10,Jordan 1 Retro High OG UNC Toe
ds,,1,,$59,$90,$97.00,$81.00,41,$97.00,$85.00,15,$97.00,$97.00,555088-701,https://stockx.com/air-jordan-1-retro-high-pollen,10,Jordan 1 Retro High Pollen
ds,,1,,$59,$90,$97.00,$81.00,41,$97.00,$85.00,15,$97.00,$97.00,555088-701,https://stockx.com/air-jordan-1-retro-high-pollen,10,Jordan 1 Retro High Pollen
ds,,1,,,,,,,,,,,,,,,
ds,,1,,$40,$319,,,,,$195.00,544,,,555088-701,https://stockx.com/air-jordan-1-retro-high-pollen,5.5,Jordan 1 Retro High Pollen
ds,,1,,$44,$76,$83.00,$66.00,38,$70.00,$70.00,4,$83.00,$70.00,555088-603,https://stockx.com/air-jordan-1-retro-high-og-light-fusion-red,10,Jordan 1 Retro High OG Light Fusion Red
ds,,1,,$30,$93,$104.00,$89.00,37,$87.00,$89.00,12,$104.00,$87.00,555088-603,https://stockx.com/air-jordan-1-retro-high-og-light-fusion-red,11.5,Jordan 1 Retro High OG Light Fusion Red
ds,,1,,$66,$98,$164.00,$127.00,197,$82.00,$128.00,135,$164.00,$82.00,555088-404,https://stockx.com/air-jordan-1-retro-high-og-dark-marina-blue,10,Jordan 1 Retro High OG Dark Marina Blue
ds,,1,,$45,$60,,,,$126.00,$178.00,40,,$126.00,555088-118,https://stockx.com/air-jordan-1-retro-high-white-black-volt-university-gold,10,Jordan 1 Retro High White Black Volt University Gold
ds,,1,,$65,$110,$145.00,$122.00,190,$99.00,$102.00,37,$145.00,$99.00,DB2889-700,https://stockx.com/air-jordan-1-high-element-gore-tex-light-curry,10,Jordan 1 Retro High Element Gore-Tex Light Curry
ds,,1,,$80,$137,$117.00,$119.00,150,$82.00,$84.00,11,$117.00,$82.00,555088-061,https://stockx.com/air-jordan-1-retro-high-black-gym-red,10,Jordan 1 Retro High Black Gym Red
ds,,1,,$121,$154,$181.00,$181.00,14,$146.00,$145.00,1,$181.00,$146.00,555088-035,https://stockx.com/air-jordan-1-retro-high-black-white-light-smoke-grey,10,Jordan 1 Retro High  Shadow 2.0
ds,,1,,$25,$125,$320.00,$114.00,22,$217.00,$218.00,3,$320.00,$217.00,DV1305-308,https://stockx.com/air-jordan-1-high-zoom-air-cmft-2-pine-green-orange-blaze-womens,10W,Jordan 1 High Zoom Air CMFT 2 Pine Green Orange Blaze (Women's)
ds,,1,,$44,$126,,$140.00,266,$90.00,$85.00,12,,$90.00,555088-015,https://stockx.com/air-jordan-1-retro-high-sports-illustrated,10,Jordan 1 Retro High Sports Illustrated (A Star Is Born)
ds,,1,,$74,$113,$90.00,$126.00,234,$90.00,$135.00,154,$90.00,$90.00,DB4612-300,https://stockx.com/air-jordan-1-retro-high-lucky-green-w,11.5W,Jordan 1 Retro High Lucky Green (Women's)
ds,,1,,$122,$165,,$69.00,944,$109.00,$100.00,594,,$109.00,555088-062,https://stockx.com/air-jordan-1-retro-high-bloodline,10,Jordan 1 Retro High Bloodline
ds,,1,,$170,$334,$183.00,$168.00,146,$178.00,$146.00,11,$183.00,$178.00,555088-170,https://stockx.com/air-jordan-1-retro-high-first-class-flight,10,Jordan 1 Retro High First Class Flight
ds,,1,,$55,$75,$95.00,$68.00,3,$80.00,$68.00,3,$95.00,$80.00,CZ0775-046,https://stockx.com/air-jordan-1-retro-low-og-unc-to-chicago-womens,11.5W,Jordan 1 Retro Low OG NC to Chi (Women's)
ds,,1,,$111,$162,$160.00,$167.00,17,$160.00,$167.00,3,$160.00,$160.00,555088-500,https://stockx.com/air-jordan-1-retro-high-court-purple-white,10,Jordan 1 Retro High Court Purple White
ds,,1,,$75,$99,$143.00,$132.00,47,$86.00,$115.00,20,$143.00,$86.00,555088-711,https://stockx.com/air-jordan-1-retro-high-og-yellow-toe,10.5,Jordan 1 Retro High OG Taxi
ds,,1,,$44,$76,$83.00,$66.00,38,$70.00,$70.00,4,$83.00,$70.00,555088-603,https://stockx.com/air-jordan-1-retro-high-og-light-fusion-red,10,Jordan 1 Retro High OG Light Fusion Red
ds,,1,,$230,$258,$202.00,$286.00,3,$202.00,$274.00,0,$202.00,$202.00,FV5029-006,https://stockx.com/air-jordan-4-retro-bred-reimagined,10.5,Jordan 4 Retro Bred Reimagined
ds,,1,,$185,$224,$244.00,$300.00,91,$209.00,$260.00,22,$244.00,$209.00,FZ7974-300,https://stockx.com/air-jordan-3-retro-sp-nina-chanel-abney-bicoastal-womens,12W,Jordan 3 Retro SP Nina Chanel Abney Bicoastal (Women's)
ds,,1,,$221,$230,,$396.00,330,$350.00,$350.00,6,,$350.00,FV5029-100,https://stockx.com/air-jordan-4-retro-white-cement-2025,10.5,Jordan 4 Retro White Cement (2025)
ds,,1,,,,,,,,,,,,,,,
